2026-02-16 10:02:24.132 | MainThread:10584 | INFO | qml: handleLazyLoadSuccess
2026-02-16 10:02:24.225 | CheckGameExeVersion:46492 | INFO | CheckGameExeVersionWorker start
2026-02-16 10:02:24.225 | ClearOutdateGameLog:20248 | INFO | Clear LegacySaved
2026-02-16 10:02:24.229 | CheckGameExeVersion:46492 | INFO | Check game C:\dev\clg\MarvelGame\Marvel.exe is exists: False, and version is 
2026-02-16 10:02:24.229 | ClearOutdateGameLog:20248 | INFO | Clear outdate game log
2026-02-16 10:02:24.403 | MainThread:10584 | INFO | qml: mainWindow visible
2026-02-16 10:02:24.406 | MetaInfoLog:47912 | INFO | MetaInfoLogWorker start
2026-02-16 10:02:24.406 | SyncLanguage:50828 | INFO | SyncLanguageWorker start
2026-02-16 10:02:24.407 | MainThread:10584 | INFO | xinput1_4 loaded
2026-02-16 10:02:24.407 | MainThread:10584 | INFO | WinMM API initialized
2026-02-16 10:02:24.407 | DownloadWebVideo:23180 | INFO | Video json video url is empty
2026-02-16 10:02:24.407 | LogicInit:46204 | INFO | start check headcode
2026-02-16 10:02:24.408 | MainThread:10584 | INFO | qml: SettingsDialog Completed
2026-02-16 10:02:24.408 | LogicInit:46204 | INFO | empty headcode patchlist, ignore
2026-02-16 10:02:24.408 | MainThread:10584 | INFO | qml: BaseCombobox Completed
2026-02-16 10:02:24.409 | MainThread:10584 | INFO | qml: ProblemFeedbackDialog onCompleted
2026-02-16 10:02:24.409 | CleanupDownloads:48236 | INFO | Cleaning incomplete downloads older than 7 days
2026-02-16 10:02:24.409 | MainThread:10584 | INFO | qml: UploadDialog Completed
2026-02-16 10:02:24.409 | DownloadWebVideo:23180 | INFO | config video url is empty, skip download web video
2026-02-16 10:02:24.409 | GamepadMonitor:44512 | INFO | GamepadMonitorWorker start
2026-02-16 10:02:24.409 | MainThread:10584 | INFO | qml: QuitDialog Completed
2026-02-16 10:02:24.410 | MainThread:10584 | INFO | qml: ExperimentalFeatureSwitch Completed
2026-02-16 10:02:24.410 | MainThread:10584 | INFO | qml: ProblemFeedbackDialog onCompleted
2026-02-16 10:02:24.410 | MainThread:10584 | INFO | qml: DownloadProgress Completed
2026-02-16 10:02:24.410 | MainThread:10584 | INFO | qml: SelfUpdateView Completed
2026-02-16 10:02:24.433 | UploadProfile:20168 | ERROR | Upload profile failed: [WinError 2] The system cannot find the file specified
2026-02-16 10:02:24.433 | LogicInit:46204 | INFO | Start check self update
2026-02-16 10:02:24.433 | LogicInit:46204 | WARNING | Patchlist content is empty, cannot parse
2026-02-16 10:02:24.433 | LogicInit:46204 | INFO | Get server patchlist data is empty. cannot update
2026-02-16 10:02:24.435 | LogicInit:46204 | INFO | Start check game update
2026-02-16 10:02:24.435 | LogicInit:46204 | WARNING | first remote download patchlist content is empty, start second try
2026-02-16 10:02:24.503 | LogicInit:46204 | WARNING | Get remote content only failed, reason is: HTTP Error 404: Not Found
2026-02-16 10:02:24.503 | LogicInit:46204 | INFO | Check update, remote version is 0 <class 'str'>
2026-02-16 10:02:24.503 | LogicInit:46204 | INFO | Check update, local version is 0
2026-02-16 10:02:24.504 | LogicInit:46204 | INFO | Start qsec
2026-02-16 10:02:24.923 | LogicInit:46204 | INFO | Start check local env
2026-02-16 10:02:24.923 | LogicInit:46204 | INFO | start execute env check [check_local_dll]
2026-02-16 10:02:24.923 | LogicInit:46204 | INFO | executed env check [check_local_dll]
2026-02-16 10:02:24.923 | LogicInit:46204 | INFO | start execute env check [install_dependency]
2026-02-16 10:02:24.923 | LogicInit:46204 | INFO | Non-Epic channel, skip install dependency
2026-02-16 10:02:24.923 | LogicInit:46204 | INFO | executed env check [install_dependency]
2026-02-16 10:02:24.923 | LogicInit:46204 | INFO | start execute env check [check_gpu_driver]
2026-02-16 10:02:24.961 | LogicInit:46204 | INFO | Driver: NVIDIA GeForce RTX 3070, Driver date >= 20250815000000, check passed
2026-02-16 10:02:24.961 | LogicInit:46204 | INFO | executed env check [check_gpu_driver]
2026-02-16 10:02:24.961 | LogicInit:46204 | INFO | start execute env check [check_windows_version]
2026-02-16 10:02:25.169 | LogicInit:46204 | INFO | Windows version is: 10.0.26200
2026-02-16 10:02:25.169 | LogicInit:46204 | INFO | Windows version, check passed
2026-02-16 10:02:25.169 | LogicInit:46204 | INFO | executed env check [check_windows_version]
2026-02-16 10:02:25.169 | LogicInit:46204 | INFO | start execute env check [check_gpu_memory]
2026-02-16 10:02:25.169 | LogicInit:46204 | INFO | [get_max_vram_from_registry] current Model: NVIDIA GeForce RTX 3070, VRAM (GB): 8.0
2026-02-16 10:02:25.442 | LogicInit:46204 | INFO | [nvidia smi] Max VRAM GPU: 8.00 GB
2026-02-16 10:02:25.442 | LogicInit:46204 | INFO | [check_total_gpu_memory-smi] detected max Model: NVIDIA GeForce RTX 3070, VRAM (GB): 8.0
2026-02-16 10:02:25.442 | LogicInit:46204 | INFO | executed env check [check_gpu_memory]
2026-02-16 10:02:25.442 | LogicInit:46204 | INFO | start execute env check [check_cpu_name]
2026-02-16 10:02:25.458 | LogicInit:46204 | INFO | Check cpu name,  cpu name: AMD Ryzen 7 5700X 8-Core Processor             
2026-02-16 10:02:25.458 | LogicInit:46204 | INFO | cpu name check passed
2026-02-16 10:02:25.458 | LogicInit:46204 | INFO | executed env check [check_cpu_name]
2026-02-16 10:02:25.458 | LogicInit:46204 | INFO | start execute env check [check_steam_id_txt]
2026-02-16 10:02:25.459 | LogicInit:46204 | ERROR | Failed to create C:\dev\clg\MarvelGame\Marvel\Binaries\Win64\steam_appid.txt, Error: [Errno 2] No such file or directory: 'C:\\dev\\clg\\MarvelGame\\Marvel\\Binaries\\Win64\\steam_appid.txt'
2026-02-16 10:02:25.459 | LogicInit:46204 | INFO | executed env check [check_steam_id_txt]
2026-02-16 10:02:25.459 | LogicInit:46204 | INFO | start execute env check [check_invalid_pak]
2026-02-16 10:02:25.459 | LogicInit:46204 | INFO | [get_paklist_from_version_info]version.json not found, skip
2026-02-16 10:02:25.459 | LogicInit:46204 | WARNING | get pak list failed, skip check blacklist pak
2026-02-16 10:02:25.459 | LogicInit:46204 | INFO | executed env check [check_invalid_pak]
2026-02-16 10:02:25.459 | LogicInit:46204 | INFO | start execute env check [check_gpu_crashes]
2026-02-16 10:02:25.460 | LogicInit:46204 | INFO | current crashes folder: C:\Users\morne\AppData\Local\Marvel\Saved\Crashes
2026-02-16 10:02:25.461 | LogicInit:46204 | INFO | crash found in record, skip checking crash folder UECC-Windows-341D1B0345822B91EDD3DBAE4283A965_0000
2026-02-16 10:02:25.461 | LogicInit:46204 | INFO | crash found in record, skip checking crash folder UECC-Windows-37D4933144897A8FFD4434B374AB2AC7_0000
2026-02-16 10:02:25.461 | LogicInit:46204 | INFO | crash found in record, skip checking crash folder UECC-Windows-4BC6BEAC46654D26F2EFFC905E465B5F_0000
2026-02-16 10:02:25.461 | LogicInit:46204 | INFO | crash found in record, skip checking crash folder UECC-Windows-5385239C4473F9970E8432993E6F9B83_0000
2026-02-16 10:02:25.461 | LogicInit:46204 | INFO | crash found in record, skip checking crash folder UECC-Windows-69A3C3704E92ADE6FE54FD88C5694499_0000
2026-02-16 10:02:25.462 | LogicInit:46204 | INFO | executed env check [check_gpu_crashes]
2026-02-16 10:02:25.462 | LogicInit:46204 | INFO | start execute env check [check_pak_crashes]
2026-02-16 10:02:25.471 | LogicInit:46204 | INFO | [get_paklist_from_version_info]version.json not found, skip
2026-02-16 10:02:25.471 | LogicInit:46204 | WARNING | get pak list failed, skip check invalid pak marker
2026-02-16 10:02:25.471 | LogicInit:46204 | INFO | [check_pak_crashes] current crashes folder: C:\Users\morne\AppData\Local\Marvel\Saved\Crashes
2026-02-16 10:02:25.522 | LogicInit:46204 | INFO | pak crashes xml not found, skip check pak crash
2026-02-16 10:02:25.522 | LogicInit:46204 | INFO | executed env check [check_pak_crashes]
2026-02-16 10:02:25.522 | LogicInit:46204 | INFO | start execute env check [check_anti_virus]
2026-02-16 10:02:25.563 | LogicInit:46204 | INFO | executed env check [check_anti_virus]
2026-02-16 10:02:25.564 | LogicInit:46204 | INFO | start execute env check [check_season_crashes]
2026-02-16 10:02:25.564 | LogicInit:46204 | INFO | [get_paklist_from_version_info]version.json not found, skip
2026-02-16 10:02:25.564 | LogicInit:46204 | WARNING | get pak list failed, skip check redundant pak
